Unitary,Order,Coefficient
0,1,-0.000433083206557431
0,1,-0.0003115909144217068
0,1,-0.0004170536447881748
0,1,-0.0004581858034401616
0,1,-0.000464417578537826
0,1,-0.0004361490495028871
0,1,-0.0004402687187123964
0,1,-0.00042691249590724105
0,1,-0.00045685823497284325
0,1,-0.00036629505007130094
0,2,0.0001405367598683704
0,2,0.0001955780687413491
0,2,0.00022668829442720246
0,2,0.00021989791827685677
0,2,0.0001935182725156839
0,2,0.00034914673973314284
0,2,0.00023949414288367932
0,2,0.0002257142926078832
0,2,0.00016322303852004516
0,2,0.00014824187475019211
0,2,0.00017519666149026753
0,2,0.00014995534558929872
0,2,0.00016269888834154916
0,2,0.00014173834314023072
0,2,0.00015470608082895107
0,2,0.00018737785127339435
0,2,0.0002698357125548699
0,2,0.00023907538634585472
0,2,0.00020653897808438148
0,2,0.0002996760380541195
0,2,0.0002517591377626237
0,2,0.00018408632212236608
0,2,0.00024336549632921248
0,2,0.0001888017945979945
0,2,0.0002306728724875977
0,2,0.0002472060853166673
0,2,0.00020987181722197058
0,2,0.00025638261570472585
0,2,0.00029576597027115083
0,2,0.00017571613573111973
0,2,0.0002401879290418988
0,2,0.00023686394715670287
0,2,0.0003162836667889004
0,2,0.0002714420856625881
0,2,0.0001918632155511278
0,2,0.0002343255743030407
0,2,0.0001914078525025798
0,2,0.0002204230878487217
0,2,0.00023188177747123374
0,2,0.00019579464428795112
0,2,0.00020929598921512124
0,2,0.0001846353347034358
0,2,0.00021380685959107153
0,2,0.000178222917367552
0,2,0.0001924103567803351
0,3,-6.930308558977753e-05
0,3,-8.13292213293297e-05
0,3,-7.145588520511242e-05
0,3,-7.309302256660309e-05
0,3,-0.0001091685404305274
0,3,-8.24694827963643e-05
0,3,-8.934004533744697e-05
0,3,-0.0001198719199111206
0,3,-0.00010448799081941732
0,3,-9.98769953098848e-05
0,3,-0.00013150494756160677
0,3,-0.00013832321824370765
0,3,-0.00010619338012090625
0,3,-0.00011583589508978772
0,3,-8.56203969702908e-05
0,3,-0.00011653441107569378
0,3,-0.000115412284984242
0,3,-0.00015579393073704846
0,3,-0.00011714101628742542
0,3,-0.000123706550157515
0,3,-8.672660430679235e-05
0,3,-0.00011091511485559409
